trial,subject,condition,tsec,arousal,arousal_mean,above,above_adaptive,sustained,rate,excess_fixed,excess_adaptive,event,a100,am100,strat
3_6,3,3,15,66.90951210043238,81.174427323229,1.0,1.0,1.0,6.546395817732929,50.285748097203935,33.0734323961812,0.0,0.6690951210043238,0.8117442732322899,<30
3_6,3,3,20,89.23510150986536,66.45632294908492,1.0,1.0,1.0,-6.508477607829379,67.78070071830132,56.1417844977977,0.0,0.8923510150986536,0.6645632294908492,<30
3_6,3,3,25,44.15611652393963,41.074542769454,1.0,1.0,1.0,-3.2982155579704866,15.292002176215949,13.676726609580477,0.0,0.4415611652393963,0.41074542769454,<30
3_6,3,3,30,24.471207176070408,21.56039360560187,0.0,0.0,0.0,-3.601481918871884,0.0,0.0,1.0,0.2447120717607041,0.2156039360560187,30-40
3_8,3,3,0,0.0,3.046889831302479,0.0,0.0,0.0,1.1288357295195088,0.0,0.0,0.0,0.0,0.03046889831302479,<30
3_8,3,3,5,10.001832338774559,21.926633107267037,1.0,1.0,1.0,4.4143643720718915,0.13827901436763845,1.4696617719106904,0.0,0.10001832338774559,0.21926633107267038,<30
3_8,3,3,10,28.167207383248776,34.366463272119724,1.0,1.0,1.0,2.104509955642912,15.082898862061604,10.572956582541305,0.0,0.28167207383248777,0.34366463272119724,<30
3_8,3,3,15,33.581928928243215,30.679383691781776,1.0,1.0,1.0,-1.4251117867043128,16.95816492501477,17.32080975965976,0.0,0.33581928928243215,0.30679383691781775,<30
3_8,3,3,20,29.756314588557547,19.39849044098748,1.0,1.0,1.0,-3.3896013224579127,8.301913796993507,15.523504737459966,0.0,0.2975631458855755,0.19398490440987481,<30
3_8,3,3,25,5.84164878302234,4.601288203818095,0.0,0.0,0.0,-1.8649301121215136,0.0,0.0,0.0,0.05841648783022339,0.04601288203818095,<30
3_8,3,3,30,3.0067926525832585,5.705816868225993,0.0,0.0,0.0,0.6285397042622936,0.0,0.0,0.0,0.030067926525832584,0.05705816868225993,30-40
3_8,3,3,35,7.923218130147804,15.901698656581392,0.0,0.0,0.0,2.419928570032198,0.0,0.0,0.0,0.07923218130147804,0.15901698656581392,30-40
3_8,3,3,40,28.886269185895454,57.34626086288417,0.0,0.0,0.0,10.16468468502189,0.0,0.0,0.0,0.2888626918589545,0.5734626086288417,30-40
3_8,3,3,45,76.61087522823584,78.32417651695144,0.0,0.0,0.0,1.9849534452080628,0.0,0.0,0.0,0.7661087522823584,0.7832417651695144,41-52
3_8,3,3,50,88.38272007526041,92.41163757441295,0.0,0.0,0.0,4.1309768466191645,0.0,0.0,1.0,0.8838272007526041,0.9241163757441295,41-52
4_1,4,1,0,0.0,0.12092333500311662,0.0,0.0,0.0,0.056541493424757616,0.0,0.0,0.0,0.0,0.0012092333500311663,<30
4_1,4,1,5,0.06960304978659683,0.729250888240902,0.0,0.0,0.0,0.1949620842252433,0.0,0.0,0.0,0.0006960304978659683,0.0072925088824090205,<30
4_1,4,1,10,1.3683168141409148,0.8461645485512491,0.0,0.0,0.0,-0.09965258303085282,0.0,0.0,0.0,0.013683168141409147,0.008461645485512492,<30
4_1,4,1,15,0.5779998447963524,0.3085918160800027,0.0,0.0,0.0,-0.08476202456521684,0.0,0.0,0.0,0.005779998447963524,0.003085918160800027,<30
4_1,4,1,20,0.4806377951587376,2.159949504454748,0.0,0.0,0.0,0.6182649015980839,0.0,0.0,0.0,0.004806377951587376,0.02159949504454748,<30
4_1,4,1,25,28.511329402233187,62.10295683014442,0.0,1.0,1.0,17.50007725967696,0.0,5.76976116293034,1.0,0.2851132940223319,0.6210295683014442,<30
4_11,4,2,0,0.0,0.7164878499673335,0.0,0.0,0.0,0.2977801388992739,0.0,0.0,0.0,0.0,0.007164878499673335,<30
4_11,4,2,5,1.881296693858282,4.253950945995238,0.0,0.0,0.0,0.9080430773246266,0.0,0.0,0.0,0.01881296693858282,0.042539509459952385,<30
4_11,4,2,10,3.832926405755299,2.6295640891226,0.0,0.0,0.0,-0.6902725506576572,0.0,0.0,0.0,0.03832926405755299,0.026295640891226,<30
4_11,4,2,15,1.5227787886558857,7.038264559678029,0.0,0.0,0.0,1.70187536068751,0.0,0.0,0.0,0.015227787886558857,0.07038264559678029,<30
4_11,4,2,20,24.880150564034807,18.272467604199512,1.0,1.0,0.0,0.7822642319044888,3.425749772470766,6.556054462141557,0.0,0.24880150564034806,0.18272467604199513,<30
4_11,4,2,25,4.693739402176844,2.4110567476606315,0.0,0.0,0.0,-2.5807728301628226,0.0,0.0,0.0,0.046937394021768435,0.024110567476606316,<30
4_11,4,2,30,8.260127435778891,28.037588849445115,0.0,0.0,0.0,7.195521654593099,0.0,0.0,0.0,0.08260127435778891,0.28037588849445116,30-40
4_11,4,2,35,81.78433397505091,88.06272533075462,1.0,1.0,1.0,10.454452513750864,25.21198036541692,26.97576762976402,0.0,0.8178433397505092,0.8806272533075462,30-40
4_11,4,2,40,57.174975746094574,57.174975746094574,0.0,0.0,0.0,-11.621680880243858,0.0,0.0,1.0,0.5717497574609457,0.5717497574609457,30-40
4_13,4,2,0,0.0,0.9508767598499013,0.0,0.0,0.0,0.4044938886573326,0.0,0.0,0.0,0.0,0.009508767598499012,<30
4_13,4,2,5,2.190675930070152,4.71164444399223,0.0,0.0,0.0,0.91375387878946,0.0,0.0,0.0,0.02190675930070152,0.0471164444399223,<30
4_13,4,2,10,3.70100027692808,2.881464192794076,0.0,0.0,0.0,-0.67052276559859,0.0,0.0,0.0,0.0370100027692808,0.02881464192794076,<30
4_13,4,2,15,3.1846783071189795,6.236003170462337,0.0,0.0,0.0,1.0300343954088622,0.0,0.0,0.0,0.031846783071189794,0.06236003170462337,<30
4_13,4,2,20,8.55314528584633,6.481687393423644,0.0,0.0,0.0,-0.4358506393645685,0.0,0.0,0.0,0.08553145285846331,0.06481687393423644,<30
4_13,4,2,25,2.8996478733780613,3.7925859606340966,0.0,0.0,0.0,-0.2639575987356454,0.0,0.0,0.0,0.028996478733780612,0.03792585960634096,<30
4_13,4,2,30,4.024967574187784,8.161677779194513,0.0,0.0,0.0,1.335695077787151,0.0,0.0,0.0,0.040249675741877836,0.08161677779194512,30-40
4_13,4,2,35,34.456651904450894,58.16320773589742,0.0,0.0,0.0,11.147985155997711,0.0,0.0,0.0,0.3445665190445089,0.5816320773589743,30-40
4_13,4,2,40,40.83787316026671,31.65821650439262,0.0,0.0,0.0,-7.341976073487861,0.0,0.0,0.0,0.4083787316026671,0.3165821650439262,30-40
4_13,4,2,45,67.86567260665173,62.37725551786848,0.0,0.0,0.0,5.5394892000354155,0.0,0.0,0.0,0.6786567260665173,0.6237725551786848,41-52
4_13,4,2,50,51.79127018856532,75.75966911116024,0.0,0.0,0.0,5.604193249115169,0.0,0.0,0.0,0.5179127018856532,0.7575966911116023,41-52
4_13,4,2,55,86.61047571813928,84.72510838344719,0.0,0.0,0.0,-0.40162048209959667,0.0,0.0,0.0,0.8661047571813928,0.8472510838344719,53+
4_13,4,2,60,75.56608147851145,80.45105545497422,0.0,0.0,0.0,-1.0673323301864646,0.0,0.0,1.0,0.7556608147851145,0.8045105545497422,53+
4_15,4,2,0,0.0,1.0689012197356924,0.0,0.0,0.0,0.4577820971344642,0.0,0.0,0.0,0.0,0.010689012197356924,<30
4_15,4,2,5,1.3187949194570856,2.175188162606024,0.0,0.0,0.0,0.22610596496000074,0.0,0.0,0.0,0.013187949194570857,0.021751881626060243,<30
4_15,4,2,10,1.557143655262196,1.6641839608742282,0.0,0.0,0.0,-0.19130823156425816,0.0,0.0,0.0,0.01557143655262196,0.01664183960874228,<30
4_15,4,2,15,1.8597196977648958,6.652336647761169,0.0,0.0,0.0,1.574260078107504,0.0,0.0,0.0,0.018597196977648958,0.06652336647761169,<30
4_15,4,2,20,11.27486227139621,12.947084005734093,0.0,0.0,0.0,0.916704874759717,0.0,0.0,0.0,0.11274862271396209,0.1294708400573409,<30
4_15,4,2,25,7.679944915009179,6.48853571144263,0.0,0.0,0.0,-1.6148573910191844,0.0,0.0,0.0,0.07679944915009179,0.06488535711442629,<30
4_15,4,2,30,14.78412645540961,44.686023746898265,0.0,0.0,1.0,10.372535636172119,0.0,0.0,0.0,0.1478412645540961,0.4468602374689826,30-40
4_15,4,2,35,67.05730629901291,87.48520989693118,1.0,1.0,1.0,7.513948863109012,10.484952689378915,13.544700767798439,0.0,0.6705730629901291,0.8748520989693118,30-40
4_15,4,2,40,82.75813522043606,62.22969834259449,1.0,1.0,1.0,-8.547257237211275,3.311464981991932,17.384556271119834,0.0,0.8275813522043606,0.6222969834259449,30-40
4_15,4,2,45,50.4241415931534,60.85803340978053,0.0,0.0,0.0,2.3082855702297795,0.0,0.0,0.0,0.504241415931534,0.6085803340978053,41-52
4_15,4,2,50,55.6927162436957,75.18911225323278,0.0,0.0,0.0,4.347491678946202,0.0,0.0,0.0,0.556927162436957,0.7518911225323278,41-52
4_15,4,2,55,94.1969839240675,84.46799864509715,0.0,0.0,0.0,-1.2053918868668003,0.0,0.0,1.0,0.941969839240675,0.8446799864509715,53+
4_17,4,3,0,0.0,0.48038479603711715,0.0,0.0,0.0,0.2115550069768434,0.0,0.0,0.0,0.0,0.0048038479603711715,<30
4_17,4,3,5,1.5250048546365615,2.3853025503852807,0.0,0.0,0.0,0.43870084104436635,0.0,0.0,0.0,0.015250048546365615,0.023853025503852807,<30
4_17,4,3,10,1.891141882926327,1.765912402976685,0.0,0.0,0.0,-0.21999092275398252,0.0,0.0,0.0,0.01891141882926327,0.01765912402976685,<30
4_17,4,3,15,2.1680988904295444,2.0843015289677793,0.0,0.0,0.0,0.058489143863990255,0.0,0.0,0.0,0.021680988904295442,0.02084301528967779,<30
4_17,4,3,20,5.145424398913655,6.417920965585066,0.0,0.0,0.0,0.9062237849410432,0.0,0.0,0.0,0.051454243989136554,0.06417920965585065,<30
