trial,subject,k,arousal,event,excess_fixed,excess_adaptive,above,above_adaptive,sustained,rate,tsec,a100,strat,late
12_13,12,11,11.500356058854434,0.0,0.0,0.0,0.0,0.0,0.0,-9.67543651584634,22,0.11500356058854434,<30,0.0
12_13,12,12,8.241890561049821,0.0,0.0,0.0,0.0,0.0,0.0,-2.726631939216765,24,0.08241890561049821,<30,0.0
12_13,12,13,14.544011102640425,0.0,0.0,0.0,0.0,0.0,0.0,2.2742130406774956,26,0.14544011102640425,<30,0.0
12_13,12,14,17.60209560263386,0.0,0.0,0.0,0.0,0.0,0.0,1.4374617720867424,28,0.1760209560263386,<30,1.0
12_13,12,15,15.731977741779378,0.0,0.0,0.0,0.0,0.0,0.0,0.7358056627672731,30,0.1573197774177938,30-34,1.0
12_13,12,16,15.433697361941984,0.0,0.0,0.0,0.0,0.0,0.0,-1.4167477951375451,32,0.15433697361941984,30-34,1.0
12_13,12,17,17.71073695207271,0.0,0.0,0.0,0.0,0.0,0.0,1.415591107453459,34,0.17710736952072711,30-34,1.0
12_13,12,18,17.953119988703094,0.0,0.0,0.0,0.0,0.0,0.0,0.4304243782117002,36,0.17953119988703092,35-40,1.0
12_13,12,19,31.924782126524917,0.0,0.0,0.011238677731121527,0.0,1.0,0.0,4.105202071122684,38,0.3192478212652492,35-40,1.0
12_13,12,20,76.61623270503318,0.0,0.0,14.625585093539364,0.0,1.0,0.0,19.96636927722488,40,0.7661623270503318,35-40,1.0
12_13,12,21,85.19577031846195,0.0,0.0,9.227061771443857,0.0,1.0,0.0,8.638415050143305,42,0.8519577031846195,41-46,1.0
12_13,12,22,79.00310401083662,0.0,0.0,0.0,0.0,0.0,0.0,-1.5639636409697224,44,0.7900310401083662,41-46,1.0
12_13,12,23,93.86921996437127,0.0,0.0,5.29516699635991,0.0,1.0,0.0,4.841048261061692,46,0.9386921996437126,41-46,1.0
12_13,12,24,97.96663122089689,0.0,0.0,11.29420365188448,0.0,1.0,0.0,3.32326605731622,48,0.9796663122089688,47-52,1.0
12_13,12,25,98.14680454913244,0.0,0.0,13.039511241643204,0.0,1.0,0.0,0.6595492299060268,50,0.9814680454913244,47-52,1.0
12_13,12,26,97.87806526403791,0.0,0.0,4.229072274117215,0.0,1.0,0.0,-0.12775388289704875,52,0.9787806526403792,47-52,1.0
12_13,12,27,96.17761990013551,0.0,0.0,0.0,0.0,0.0,0.0,-0.8539694690958205,54,0.9617761990013551,53-58,1.0
12_13,12,28,99.66608918777455,0.0,0.0,0.0,0.0,0.0,0.0,1.3887871925660087,56,0.9966608918777454,53-58,1.0
12_13,12,29,99.87012581184175,0.0,0.0,0.0,0.0,0.0,0.0,0.37608634676121966,58,0.9987012581184175,53-58,1.0
12_13,12,30,99.79754274517964,0.0,0.0,0.0,0.0,0.0,0.0,-0.02943198590198411,60,0.9979754274517965,59+,1.0
12_13,12,31,99.94599665514951,1.0,0.0,0.0,0.0,0.0,0.0,0.039893226727684805,62,0.9994599665514952,59+,1.0
12_15,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,<30,0.0
12_15,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,<30,0.0
12_15,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,<30,0.0
12_15,12,3,0.5016542435191275,0.0,0.0,0.0,0.0,0.0,0.0,0.1672180811730425,6,0.005016542435191274,<30,0.0
12_15,12,4,16.83909125053432,0.0,4.759294804699303,5.466924217163741,1.0,1.0,0.0,5.612507581775359,8,0.16839091250534322,<30,0.0
12_15,12,5,10.142743172008531,0.0,0.0,0.0,0.0,0.0,0.0,1.1233757604989738,10,0.10142743172008531,<30,0.0
12_15,12,6,18.615344336337067,0.0,4.462099712358261,4.064979793886268,1.0,1.0,0.0,0.5613423164984432,12,0.18615344336337067,<30,0.0
12_15,12,7,16.407310159984206,0.0,2.0153048754294254,1.729892135351129,1.0,1.0,0.0,2.012886584085385,14,0.16407310159984206,<30,0.0
12_15,12,8,13.237757218994743,0.0,0.0,0.9578718617704771,0.0,1.0,0.0,-2.9097079990289605,16,0.13237757218994742,<30,0.0
12_15,12,9,38.168807760346866,0.0,18.3648382817586,19.4539785635667,1.0,1.0,0.0,9.026601247261322,18,0.3816880776034687,<30,0.0
12_15,12,10,44.612888680017726,0.0,22.541285930935157,20.95892436598203,1.0,1.0,1.0,5.9472199675857365,20,0.44612888680017726,<30,0.0
12_15,12,11,52.07931203048416,0.0,27.306817400670973,24.075157769095753,1.0,1.0,1.0,4.340100794851303,22,0.5207931203048416,<30,0.0
12_15,12,12,47.74777948979629,0.0,19.75870905947825,17.924154410652495,1.0,1.0,1.0,-2.1317016783032217,24,0.4774777948979629,<30,0.0
12_15,12,13,77.57686015149761,0.0,45.77310469136258,44.39214183558348,1.0,1.0,1.0,11.28975509936702,26,0.7757686015149762,<30,0.0
12_15,12,14,74.1458498217809,0.0,37.846874792978866,39.76110962639891,1.0,1.0,1.0,3.4625199756461007,28,0.741458498217809,<30,1.0
12_15,12,15,73.81824798614569,0.0,32.261093540288726,38.26276943942737,1.0,1.0,1.0,-2.805672467189526,30,0.7381824798614569,30-34,1.0
12_15,12,16,89.35415459961663,0.0,41.69343557877888,49.40470226005763,1.0,1.0,1.0,7.833531170337224,32,0.8935415459961663,30-34,1.0
12_15,12,17,83.21000522566689,0.0,28.517911162384628,42.4947460312283,1.0,1.0,1.0,-0.8265852206065414,34,0.8321000522566689,30-34,1.0
12_15,12,18,52.34812324427102,0.0,0.0,9.271539947668952,0.0,1.0,0.0,-12.245466412524557,36,0.5234812324427103,35-40,1.0
12_15,12,19,28.123001219452313,0.0,0.0,0.0,0.0,0.0,0.0,-13.516219755806159,38,0.28123001219452315,35-40,1.0
12_15,12,20,28.254386305011742,0.0,0.0,0.0,0.0,0.0,0.0,-3.4674619068611756,40,0.2825438630501174,35-40,1.0
12_15,12,21,23.125627094748154,0.0,0.0,0.0,0.0,0.0,0.0,-1.2315517400640914,42,0.23125627094748155,41-46,1.0
12_15,12,22,42.96594113764229,0.0,0.0,0.0,0.0,0.0,0.0,5.905496302326744,44,0.4296594113764229,41-46,1.0
12_15,12,23,81.47549336931445,0.0,0.0,1.9411955177670706,0.0,1.0,0.0,18.67320518382802,46,0.8147549336931444,41-46,1.0
12_15,12,24,87.71589352370106,0.0,0.0,0.0,0.0,0.0,0.0,6.095893373996835,48,0.8771589352370106,47-52,1.0
12_15,12,25,67.42376900759511,0.0,0.0,0.0,0.0,0.0,0.0,-5.457466656764427,50,0.6742376900759511,47-52,1.0
12_15,12,26,27.63580399852331,0.0,0.0,0.0,0.0,0.0,0.0,-18.80319834959119,52,0.2763580399852331,47-52,1.0
12_15,12,27,7.532516690274401,0.0,0.0,0.0,0.0,0.0,0.0,-12.926997058888816,54,0.07532516690274402,53-58,1.0
12_15,12,28,4.0318669552666595,0.0,0.0,0.0,0.0,0.0,0.0,-3.5298054492363558,56,0.040318669552666594,53-58,1.0
12_15,12,29,8.505259991434972,0.0,0.0,0.0,0.0,0.0,0.0,1.459292447145737,58,0.08505259991434971,53-58,1.0
12_15,12,30,9.953080969336511,0.0,0.0,0.0,0.0,0.0,0.0,1.208061046162095,60,0.09953080969336511,59+,1.0
12_15,12,31,10.972123913480393,1.0,0.0,0.0,0.0,0.0,0.0,0.5584174753691643,62,0.10972123913480393,59+,1.0
12_3,12,0,0.009133509718318443,0.0,0.0,0.0,0.0,0.0,0.0,0.009133509718318443,0,9.133509718318442e-05,<30,0.0
12_3,12,1,0.2843471354131464,0.0,0.0,0.0,0.0,0.0,0.0,0.10819418357562338,2,0.002843471354131464,<30,0.0
12_3,12,2,0.7392756451648731,0.0,0.0,0.0,0.0,0.0,0.0,0.21655710160636904,4,0.007392756451648731,<30,0.0
12_3,12,3,1.5061502411199617,0.0,0.0,0.0,0.0,0.0,0.0,0.3666331055578113,6,0.015061502411199617,<30,0.0
12_3,12,4,0.7383321670737437,0.0,0.0,0.0,0.0,0.0,0.0,-0.25506453835714465,8,0.007383321670737437,<30,0.0
12_3,12,5,0.3548561624036304,0.0,0.0,0.0,0.0,0.0,0.0,-0.16987913726606507,10,0.003548561624036304,<30,0.0
12_3,12,6,0.6015997237264399,0.0,0.0,0.0,0.0,0.0,0.0,-0.015086281024236654,12,0.006015997237264399,<30,0.0
12_3,12,7,1.7227280801496472,0.0,0.0,0.0,0.0,0.0,0.0,0.4653506023894286,14,0.01722728080149647,<30,0.0
12_3,12,8,11.166084742546232,0.0,0.0,0.9667255621480013,0.0,1.0,0.0,3.428360165057411,16,0.11166084742546233,<30,0.0
12_3,12,9,41.84216217669121,0.0,22.038192698102947,19.337588227096642,1.0,1.0,0.0,12.369637384242505,18,0.4184216217669121,<30,0.0
12_3,12,10,60.53158186454409,0.0,38.45997911546152,26.899505167642893,1.0,1.0,1.0,12.404236023730252,20,0.6053158186454408,<30,0.0
12_3,12,11,73.27006246923997,0.0,48.49756783942678,32.89153686694317,1.0,1.0,1.0,5.840990550274506,22,0.7327006246923997,<30,0.0
12_3,12,12,72.78226975939985,0.0,44.79319932908181,31.033085216865683,1.0,1.0,1.0,2.037785475831503,24,0.7278226975939985,<30,0.0
12_3,12,13,82.25337731978466,0.0,50.44962185964964,43.62320998533822,1.0,1.0,1.0,3.1333621577581665,26,0.8225337731978466,<30,0.0
12_3,12,14,75.44084332150399,0.0,39.14186829270197,45.27218245338997,1.0,1.0,1.0,-1.4745988733604467,28,0.7544084332150399,<30,1.0
12_3,12,15,85.5974532490317,0.0,44.040298803174736,57.07491715571331,1.0,1.0,1.0,3.229761114743283,30,0.855974532490317,30-34,1.0
12_3,12,16,96.14683711491938,0.0,48.486118094081625,63.96405540346653,1.0,1.0,1.0,5.092157877479261,32,0.9614683711491938,30-34,1.0
12_3,12,17,95.73822596559947,0.0,41.046131902317214,59.07503383640789,1.0,1.0,1.0,1.3271876152360516,34,0.9573822596559947,30-34,1.0
12_3,12,18,86.02359126422928,0.0,23.28988638150087,46.01321136004289,1.0,1.0,1.0,-3.5302171710204155,36,0.8602359126422928,35-40,1.0
12_3,12,19,77.32402055988882,0.0,5.45604377117472,32.26900283972248,1.0,1.0,1.0,-5.47784208289373,38,0.7732402055988882,35-40,1.0
12_3,12,20,89.13976692641867,0.0,6.962431835641432,40.043158093654014,1.0,1.0,1.0,4.415049639601628,40,0.8913976692641867,35-40,1.0
12_3,12,21,84.41410342073684,0.0,0.0,29.72932722671865,0.0,1.0,0.0,-0.59210629945418,42,0.8441410342073684,41-46,1.0
12_3,12,22,65.97882363632009,0.0,0.0,3.725583162114546,0.0,1.0,0.0,-7.281479488052938,44,0.6597882363632008,41-46,1.0
12_3,12,23,70.82864471332978,0.0,0.0,2.442096885421492,0.0,1.0,0.0,-1.3532439219005663,46,0.7082864471332978,41-46,1.0
12_3,12,24,75.65391318126822,0.0,0.0,2.0213087538191843,0.0,1.0,0.0,2.4534653850097903,48,0.7565391318126822,47-52,1.0
12_3,12,25,86.56943245159736,0.0,0.0,2.263119971776156,0.0,1.0,0.0,6.01241375133875,50,0.8656943245159736,47-52,1.0
12_3,12,26,84.32682139630363,0.0,0.0,0.0,0.0,0.0,0.0,-0.5146443145833383,52,0.8432682139630363,47-52,1.0
12_3,12,27,80.51167669330857,0.0,0.0,0.0,0.0,0.0,0.0,-1.3486871220537657,54,0.8051167669330858,53-58,1.0
12_3,12,28,69.54882897176834,0.0,0.0,0.0,0.0,0.0,0.0,-4.317742492176782,56,0.6954882897176834,53-58,1.0
12_3,12,29,46.52656590343674,0.0,0.0,0.0,0.0,0.0,0.0,-10.806008234041649,58,0.4652656590343674,53-58,1.0
12_3,12,30,44.80482104942652,1.0,0.0,0.0,0.0,0.0,0.0,-5.555698798663902,60,0.44804821049426524,59+,1.0
12_5,12,0,0.6458724903713895,0.0,0.0,0.0,0.0,0.0,0.0,0.6458724903713895,0,0.006458724903713895,<30,0.0
12_5,12,1,0.6230915656690894,0.0,0.0,0.0,0.0,0.0,0.0,0.27627781447776867,2,0.0062309156566908944,<30,0.0
12_5,12,2,0.16442228540322457,0.0,0.0,0.0,0.0,0.0,0.0,-0.29764465349886615,4,0.0016442228540322456,<30,0.0
12_5,12,3,0.043341243874737354,0.0,0.0,0.0,0.0,0.0,0.0,-0.09230321283771,6,0.00043341243874737355,<30,0.0
12_5,12,4,0.011424627847756573,0.0,0.0,0.0,0.0,0.0,0.0,-0.024330862742907237,8,0.00011424627847756573,<30,0.0
12_5,12,5,0.0030114992047058763,0.0,0.0,0.0,0.0,0.0,0.0,-0.006413545786916928,10,3.0114992047058762e-05,<30,0.0
12_5,12,6,0.0016247577168823938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014136139329107725,12,1.624757716882394e-05,<30,0.0
