subject,difficulty,condition,arousal,remaining,total,bin
6,0,2,40.359019930790396,5.46875,35.46875,"(30, 45]"
6,0,1,10.146523013194166,39.49609375,69.49609375,"(0, 15]"
6,1,1,29.946578096795974,13.1484375,43.1484375,"(15, 30]"
6,0,3,13.253653212207727,39.6875,69.6875,"(0, 15]"
6,1,2,34.56634882491226,15.08984375,45.08984375,"(30, 45]"
6,0,1,56.47594628238145,5.40625,35.40625,"(45, 60]"
6,1,2,96.03894492421882,1.12890625,31.12890625,"(60, 100]"
6,0,2,71.94102270010193,21.484375,51.484375,"(60, 100]"
6,1,3,69.24241122466105,21.21484375,51.21484375,"(60, 100]"
6,1,3,93.49247615815875,17.2890625,47.2890625,"(60, 100]"
6,0,3,60.0271386320109,31.38671875,61.38671875,"(60, 100]"
6,1,1,65.9412733220605,15.12109375,45.12109375,"(60, 100]"
6,0,1,37.2455697988445,47.58203125,77.58203125,"(30, 45]"
6,1,3,86.36456873705633,33.10546875,63.10546875,"(60, 100]"
6,0,2,75.70066243036334,41.32421875,71.32421875,"(60, 100]"
6,1,2,53.227996152768355,3.03125,33.03125,"(45, 60]"
6,0,3,68.70624934389987,33.66015625,63.66015625,"(60, 100]"
6,1,2,84.83584980442836,7.328125,37.328125,"(60, 100]"
6,0,2,73.53571501282829,33.375,63.375,"(60, 100]"
6,1,1,71.36084890937028,3.1015625,33.1015625,"(60, 100]"
6,0,3,63.388523606889315,41.5078125,71.5078125,"(60, 100]"
6,1,1,35.099635743335604,16.41796875,46.41796875,"(30, 45]"
7,0,1,7.01907849929583,39.39453125,69.39453125,"(0, 15]"
7,1,2,28.428865394987792,27.11328125,57.11328125,"(15, 30]"
7,0,3,29.68453608879173,35.4609375,65.4609375,"(15, 30]"
7,0,2,29.897563778737275,33.41015625,63.41015625,"(15, 30]"
7,1,1,61.29413158296465,17.0625,47.0625,"(60, 100]"
7,0,3,16.11926916177917,33.36328125,63.36328125,"(15, 30]"
7,1,2,7.637072174289048,9.08203125,39.08203125,"(0, 15]"
7,0,2,3.6852241584907413,35.32421875,65.32421875,"(0, 15]"
7,1,1,31.525205280440037,3.078125,33.078125,"(30, 45]"
7,0,3,0.49329220507719923,37.2421875,67.2421875,"(0, 15]"
7,0,3,29.29391209487006,25.2421875,55.2421875,"(15, 30]"
7,1,3,78.59230946922919,33.18359375,63.18359375,"(60, 100]"
7,0,3,13.64879934831697,3.1875,33.1875,"(0, 15]"
7,1,2,1.037865652206964,3.0390625,33.0390625,"(0, 15]"
7,0,1,11.969994240401874,33.3671875,63.3671875,"(0, 15]"
7,1,2,3.2527244598518372,21.07421875,51.07421875,"(0, 15]"
7,0,1,3.1373249848168827,33.4765625,63.4765625,"(0, 15]"
7,1,3,11.825594598548424,21.15625,51.15625,"(0, 15]"
7,0,3,7.277774624877691,37.328125,67.328125,"(0, 15]"
7,1,2,13.039617595152396,7.01953125,37.01953125,"(0, 15]"
7,0,2,27.908996624617952,3.1953125,33.1953125,"(15, 30]"
7,1,1,24.466210373465533,7.07421875,37.07421875,"(15, 30]"
7,0,1,50.67643320939884,7.3359375,37.3359375,"(45, 60]"
8,0,1,51.80469544599522,47.92578125,77.92578125,"(45, 60]"
8,1,2,45.974544987868306,3.1328125,33.1328125,"(45, 60]"
8,0,2,3.6481930897341406,41.45703125,71.45703125,"(0, 15]"
8,1,1,57.84227082760331,1.09375,31.09375,"(45, 60]"
8,0,3,13.92636479038591,57.79296875,87.79296875,"(0, 15]"
8,1,3,4.464100202650308,5.26171875,35.26171875,"(0, 15]"
8,0,1,86.11580093309809,31.51953125,61.51953125,"(60, 100]"
8,1,3,59.439905534794704,23.39453125,53.39453125,"(45, 60]"
8,0,2,6.894419487600345,35.5546875,65.5546875,"(0, 15]"
8,1,1,66.36938654651735,1.22265625,31.22265625,"(60, 100]"
8,0,3,28.617180264922943,35.74609375,65.74609375,"(15, 30]"
8,1,2,36.377986925868775,13.171875,43.171875,"(30, 45]"
8,0,2,95.8373244247176,41.66796875,71.66796875,"(60, 100]"
8,1,3,21.72188055710446,9.35546875,39.35546875,"(15, 30]"
8,0,2,69.79214845895201,31.78515625,61.78515625,"(60, 100]"
8,0,1,5.492845070698046,33.52734375,63.52734375,"(0, 15]"
8,1,3,15.825523897080183,1.12109375,31.12109375,"(15, 30]"
8,0,2,60.235435412022376,33.5625,63.5625,"(60, 100]"
8,1,3,17.54184569622536,13.453125,43.453125,"(15, 30]"
8,0,2,12.788494734992025,33.5078125,63.5078125,"(0, 15]"
8,1,1,19.579716371883908,5.23828125,35.23828125,"(15, 30]"
8,0,1,4.6720167450017245,42.31640625,72.31640625,"(0, 15]"
8,1,3,10.789608646001486,31.14453125,61.14453125,"(0, 15]"
9,0,3,0.05183009288598156,25.33984375,55.33984375,"(0, 15]"
9,1,1,12.124712506388656,3.0703125,33.0703125,"(0, 15]"
9,0,1,0.7826715356383802,23.34375,53.34375,"(0, 15]"
9,1,2,30.19484257216441,31.08984375,61.08984375,"(30, 45]"
9,0,3,11.18346905242492,37.41015625,67.41015625,"(0, 15]"
9,1,2,11.472360707422917,5.0390625,35.0390625,"(0, 15]"
9,0,3,38.77229703177237,37.43359375,67.43359375,"(30, 45]"
9,1,3,5.86449458627587,21.10546875,51.10546875,"(0, 15]"
9,0,1,26.294125958132717,39.3671875,69.3671875,"(15, 30]"
9,1,2,42.89023599282251,5.1171875,35.1171875,"(30, 45]"
